;Cluster 1;Cluster 2;Cluster 3;Cluster 4
school;0.2817713347133852;0.29354352395090366;0.33714780001247885;0.3565071820522028
sex;0.49982983871999703;0.49842280851135184;0.4951839058286487;0.49996696944670216
age;0.21790277994575133;0.20039573401487434;0.24836030326259145;0.2755026394070548
address;0.4;0.40468408838037967;0.353260384714001;0.48521542343001
famsize;0.46013066279384185;0.4714045207910317;0.42614273798352437;0.46263475396547377
Pstatus;0.35492750664275746;0.3654242677213123;0.2664693550105965;0.20943525469297247
Medu;0.29150256433100585;0.33655119351934926;0.2621387342159326;0.2161866996988969
Fedu;0.2649499720941019;0.3655008685538739;0.34714009548143715;0.2513669853865406
Mjob;0.2607427227859338;0.28922011362362854;0.284953022184484;0.2884462089960829
Fjob;0.21706497245854983;0.2048941371972315;0.21346153846153845;0.2041241452319315
reason;0.4061489158165335;0.3695379913277085;0.3916955170036576;0.4223258177212376
guardian;0.2618098994317321;0.2950417507212874;0.26088719818633266;0.24799366678610824
traveltime;0.1975272468104443;0.21853837490014158;0.2072962351939255;0.2889610365511847
studytime;0.3047478392649437;0.2879104309082072;0.2773975043343286;0.27157157312903213
failures;0.22237759743555516;0.29095718698132317;0.2583134496388057;0.2019415165226734
schoolsup;0.30571123184777294;0.3499271061118826;0.33714780001247885;0.3565071820522027
famsup;0.4880422678400793;0.47671928310099065;0.48826464838641076;0.4903615863839435
paid;0.4999810960509583;0.49943278484292924;0.49905235640949525;0.4822109646759318
activities;0.47897180361462305;0.49842280851135184;0.49786526539336634;0.49731741730537793
nursery;0.40637639810601467;0.3796273251778222;0.3816035924557681;0.44099600214369833
higher;0.09284415871331574;0.24384589675773355;0.2257138577095571;0.2889610365511847
internet;0.3367811605397754;0.2935435239509037;0.33714780001247885;0.4671816421356683
romantic;0.45633536568354527;0.4994327848429293;0.47816216208984774;0.4346590896825066
famrel;0.2543571161439783;0.2351002102158512;0.21144228582922195;0.24497114732790473
freetime;0.23480273665734167;0.3009077557163314;0.2457027115951452;0.22797337322182412
goout;0.23814024239355047;0.3106410442981099;0.28663524436748783;0.26477355171929756
Dalc;0.22445059998504882;0.3101844800930604;0.1792856010914189;0.25188474963821605
Walc;0.3143090360335273;0.3388619371461777;0.27030007432021697;0.3168225621227062
health;0.33908862618542307;0.35811156103741204;0.3565946765076695;0.2931034482758621
absences;0.2900804920560077;0.2447322311290214;0.4116642510849124;0.3055247765518627
