;Cluster 1;Cluster 2;Cluster 3;Cluster 4
school;0.49720487195501867;0.4708348606213557;0.43206519950427213;0.4247591798192498
sex;0.49064391697221116;0.492454154896226;0.4975912760960597;0.4806375578592709
age;0.23511429461098143;0.19038670626064155;0.18567858172746834;0.2862667705084329
address;0.49720487195501867;0.44102552456021127;0.435806093546919;0.4295490298263262
famsize;0.462722497694141;0.4672869178668149;0.4640062574980091;0.4091458600556403
Pstatus;0.29066730327447426;0.30754203060998997;0.38667188124834095;0.3227386068018771
Medu;0.18076561752615214;0.34028364792532256;0.24919238169441757;0.2866785810165491
Fedu;0.20481596022428045;0.26767018517672897;0.3342931203279587;0.3233357185183096
Mjob;0.36258493630003874;0.2887593614802048;0.29119829294046357;0.2638970240136833
Fjob;0.1889694773487739;0.2107962010309551;0.20550593247467236;0.25301211044188393
reason;0.3677382333308333;0.4076659754034468;0.3998162677693366;0.40288500174696157
guardian;0.24532195848610558;0.26384333299120016;0.279750778549447;0.22061300356097482
traveltime;0.28234882902068437;0.2279925544074197;0.23748276047809244;0.31471447073561165
studytime;0.27929598951449836;0.2631281423499118;0.272479262557854;0.27893236943324545
failures;0.25274067950652307;0.13330212590900647;0.22697719417235734;0.13118109185931545
schoolsup;0.2724436298069728;0.33071891388307384;0.26884920001572726;0.3404999733927505
famsup;0.4997588245935761;0.48016789315957165;0.48348345121325315;0.46756008942688254
paid;0.20393111999232305;0.25867886639066545;0.1941077438551307;0.2812688362124686
activities;0.4948716593053934;0.4991672058622081;0.4981918692852158;0.4867899690101963
nursery;0.45743981713098064;0.30754203060998997;0.4281918785401098;0.3715000350263133
higher;0.394299881940469;0.1803365320529909;0.38667188124834095;0.1518685159211489
internet;0.4782205355259667;0.4083992419537558;0.4019474996476287;0.35668509143011423
romantic;0.4893842385985643;0.469088881448095;0.4932800591925021;0.4732276913800541
famrel;0.23035859516338753;0.2325154286412259;0.263016070072387;0.21732140818885953
freetime;0.25194547986703614;0.26234982672538637;0.26386738818498806;0.2704956493842234
goout;0.30757102964028704;0.2698712119908134;0.29165636824791213;0.2822041092512981
Dalc;0.21605623765125573;0.2203030247343431;0.2939905317175106;0.16752727976097584
Walc;0.33556184448717874;0.27884356348266326;0.3435416229263926;0.2776218726033817
health;0.33891507962140627;0.3477672569352983;0.37261351350940963;0.3879101712363339
absences;0.29746012500106256;0.23515682934006582;0.20692628273246452;0.2662209265763372
